table,row,reason
vle,794,a component is near or above its critical temperature (gas solubility)
vle,795,a component is near or above its critical temperature (gas solubility)
vle,796,a component is near or above its critical temperature (gas solubility)
vle,797,a component is near or above its critical temperature (gas solubility)
vle,798,a component is near or above its critical temperature (gas solubility)
vle,799,a component is near or above its critical temperature (gas solubility)
vle,800,a component is near or above its critical temperature (gas solubility)
vle,801,a component is near or above its critical temperature (gas solubility)
vle,802,a component is near or above its critical temperature (gas solubility)
vle,803,a component is near or above its critical temperature (gas solubility)
vle,804,a component is near or above its critical temperature (gas solubility)
vle,805,a component is near or above its critical temperature (gas solubility)
vle,806,a component is near or above its critical temperature (gas solubility)
vle,1478,a component is near or above its critical temperature (gas solubility)
vle,1479,a component is near or above its critical temperature (gas solubility)
vle,1480,a component is near or above its critical temperature (gas solubility)
vle,1481,a component is near or above its critical temperature (gas solubility)
vle,1482,a component is near or above its critical temperature (gas solubility)
vle,1483,a component is near or above its critical temperature (gas solubility)
vle,1484,a component is near or above its critical temperature (gas solubility)
vle,1485,a component is near or above its critical temperature (gas solubility)
vle,1486,a component is near or above its critical temperature (gas solubility)
vle,1487,a component is near or above its critical temperature (gas solubility)
vle,1488,a component is near or above its critical temperature (gas solubility)
vle,1489,a component is near or above its critical temperature (gas solubility)
vle,1490,a component is near or above its critical temperature (gas solubility)
vle,1491,a component is near or above its critical temperature (gas solubility)
vle,1492,a component is near or above its critical temperature (gas solubility)
vle,1493,a component is near or above its critical temperature (gas solubility)
vle,1494,a component is near or above its critical temperature (gas solubility)
vle,1495,a component is near or above its critical temperature (gas solubility)
vle,1496,a component is near or above its critical temperature (gas solubility)
vle,1497,a component is near or above its critical temperature (gas solubility)
