inchikey,name,C6_au,alpha_au
XCIXKGXIYUWCLL-UHFFFAOYSA-N,cyclopentanol,1858.1382718295165,63.42492087870873
PZHIWRCQKBBTOW-UHFFFAOYSA-N,n-butyl_ethyl_ether,2947.6797621881183,80.40524616517263
QGZKDVFQNNGYKY-UHFFFAOYSA-N,ammonia,84.0073230804989,13.923565121848215
VXNZUUAINFGPBY-UHFFFAOYSA-N,1-butene,1088.4478545827158,51.20327893544198
IXQGCWUGDFDQMF-UHFFFAOYSA-N,o-ethylphenol,3754.9663154312784,96.09655428286332
HMNKTRSOROOSPP-UHFFFAOYSA-N,m-ethylphenol,3754.9484746200883,96.09191606536834
HXDOZKJGKXYMEW-UHFFFAOYSA-N,p-ethylphenol,3755.2971468587275,96.09687752068758
LHGVFZTZFXWLCP-UHFFFAOYSA-N,guaiacol,3249.1030392051025,89.20530707633026
NWVVVBRKAWDGAB-UHFFFAOYSA-N,p-methoxyphenol,3246.182691711586,89.16561654872353
YBYIRNPNPLQARY-UHFFFAOYSA-N,indene,3689.7901027047305,97.61242923013293
CWERGRDVMFNCDR-UHFFFAOYSA-N,thioglycolic_acid,1246.362689364783,54.66039141238063
NMJJFJNHVMGPGM-UHFFFAOYSA-N,n-butyl_formate,2245.2822909469587,70.17972402307473
BSKHPKMHTQYZBB-UHFFFAOYSA-N,2-methylpyridine,2256.9502552819986,75.25387928407403
ZTOMUSMDRMJOTH-UHFFFAOYSA-N,glutaronitrile,1919.3082290779923,66.0216063101285
AKGGYBADQZYZPD-UHFFFAOYSA-N,4-phenyl-2-butanone,5581.21265448415,116.86878164867137
QUKGYYKBILRGFE-UHFFFAOYSA-N,benzyl_acetate,4959.944330694705,109.93787166505184
QYDYPVFESGNLHU-KHPPLWFESA-N,methyl_oleate,24471.069120180815,234.15903846086493
CBFCDTFDPHXCNY-UHFFFAOYSA-N,n-eicosane,26133.894157265873,240.38838229766455
ZWRUINPWMLAQRD-UHFFFAOYSA-N,1-nonanol,6070.523294801164,115.3888737046631
AFABGHUZZDYHJO-UHFFFAOYSA-N,2-methylpentane,2575.7271924510155,75.63465415163662
CBOQJANXLMLOSS-UHFFFAOYSA-N,ethyl_vanillin,5466.434379805528,114.46303398699348
ODLMAHJVESYWTB-UHFFFAOYSA-N,n-propylbenzene,4321.931032212096,103.40897270017287
WEHWNAOGRSTTBQ-UHFFFAOYSA-N,di-n-propylamine,3209.3774755201825,84.58312988386291
