fam_solute,fam_solvent,n,MAE,bias,model
alcohol,acid,133,0.3519422489451574,-0.33159727588343524,Z1
alcohol,alcohol,59,2.032860118073338,1.8423258932473252,Z1
alcohol,alkane,38,0.13158091853593332,-0.07928292508491729,Z1
alcohol,amide,9,0.043732025682006605,-0.038102094962738996,Z1
alcohol,amine,16,0.31697575900124747,0.09849369950206047,Z1
alcohol,aromatic HC,27,0.2962053570137866,0.2627658141957369,Z1
alcohol,water,177,1.0158458152642775,1.0158458152642775,Z1
alkane,acid,111,0.19592947520956244,0.028781058295228007,Z1
alkane,alcohol,456,1.2551044011260302,-0.7757780840359682,Z1
alkane,alkane,1,0.028159665914269803,0.028159665914269803,Z1
alkane,amide,34,1.3878786409925363,-1.3878786409925363,Z1
alkane,amine,23,0.3350589879969753,0.028716523682267025,Z1
alkane,aromatic HC,77,0.4274776255825132,-0.4274776255825132,Z1
alkane,ether,24,0.42813712776536333,-0.42813712776536333,Z1
alkane,ketone/aldehyde,31,1.0562944771884797,-1.0562944771884797,Z1
alkane,nitrile,1,0.11867079655461588,-0.11867079655461588,Z1
alkene/alkyne,acid,25,0.16157342651567944,0.013520608048753779,Z1
alkene/alkyne,alcohol,429,0.8129314907476348,-0.5463424618351898,Z1
alkene/alkyne,alkane,1,0.5896403131879527,0.5896403131879527,Z1
alkene/alkyne,amide,13,1.4367598032938709,-1.4367598032938709,Z1
alkene/alkyne,amine,20,0.21062641805541166,-0.1824537011814971,Z1
alkene/alkyne,aromatic HC,146,0.32490353575921027,-0.32490353575921027,Z1
alkene/alkyne,ether,30,0.2742698735607472,-0.2742698735607472,Z1
alkene/alkyne,nitrile,1,0.5119187858988563,0.5119187858988563,Z1
alkene/alkyne,water,1,0.015732855363022935,-0.015732855363022935,Z1
amide,water,30,0.9029132762076358,0.8281450035458066,Z1
amine,alkane,3,0.9676334024095755,0.9676334024095755,Z1
amine,aromatic HC,5,0.8848048239457101,0.8848048239457101,Z1
amine,water,18,1.6515293856174695,1.3370092994902611,Z1
aromatic HC,acid,41,0.2986179858993108,0.2982759422745594,Z1
aromatic HC,alcohol,133,1.0565593427989455,-0.7120209287992332,Z1
aromatic HC,amide,16,0.5076274347954394,-0.5076274347954394,Z1
aromatic HC,amine,18,0.20000484947280406,0.16307405843538847,Z1
aromatic HC,aromatic HC,4,0.06116188727452679,-0.06116188727452679,Z1
aromatic HC,ether,4,0.5215132172579529,0.5215132172579529,Z1
aromatic HC,ketone/aldehyde,25,0.7038189305223128,-0.7038189305223128,Z1
